name,name_en,type,type_en,address,sum_district_name,sum_district_type ,bag_khoroo_name,bag_khoroo_type,3_word_address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time,
Тумбааш тооцооны төв,Tumbaash branch,branch,тооцооны төв,"Баянгол дүүрэг,13-р хороо, Ард Аюушийн өргөн чөлөө,15 дугаар хороо, 3-р хороолол, ""Ахуй үйлчилгээний ордон""-ы байр
3 үгт хаяг: ///дээдлэх.жүжигчин.огноо ",Баянгол,дүүрэг,"Баянгол дүүрэг,13-р",хороо,///дээдлэх.жүжигчин.огноо,"Ard Ayush avenue, 15th khoroo, 3rd microdistrict, Bayangol district
what3words: ///crafts.singer.seaweed ","Даваа - Баасан: 9:00-17:00
Бямба, Ням: Амарна","Monday - Friday: 9:00am-5:00pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,09:00:00,17:00:00,
Баянзүрх салбар,Bayanzurkh branch,branch,салбар,"Баянзүрх дүүрэг, Энх тайвны өргөн чөлөө 14-р хороолол,13 дугаар хороо, 92-А байр 201 тоот
3 үгт хаяг: ///цамц.хатагтай.төрд ",Баянзүрх,дүүрэг,"Баянзүрх дүүрэг, Энх тайвны өргөн чөлөө 14-р",хороо,///цамц.хатагтай.төрд,"201, building 92A, 13th horoo, Peace avenue, Bayanzurkh district
What3Words: //unwanted.climate.tasteful ","Даваа - Баасан: 9:00-17:00
Бямба, Ням: Амарна","Monday - Friday: 9:00am-5:00pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,09:00:00,17:00:00,
"Дорнод Хэрлэн ТТ, Экспресс АТМ","DORNOD KHERLEN TT, Express АТМ",atm,атм,"Дорнод аймаг, Хэрлэн сум, 6-р баг, Тана худалдааны төв Хасбанкны Хэрлэн тооцооны төвийн үүдэнд","Дорнод аймаг, Хэрлэн",сум,"Дорнод аймаг, Хэрлэн сум, 6-р",баг,,"Dornod province, Kherlen, Trade street, Tana market",Даваа-Ням 09:00-19:00 цаг,Mon-Sun 9am-07pm,1800-1888,1,1,1,1,1,1,1,09:00:00,19:00:00,
Яармаг Өлзийт дэлгүүр АТМ,Yarmag Ulziit Supermarket АТМ,atm,атм,"ХУД, 6-р хороо, Яармаг Өлзийт дэлгүүр",0,0,"ХУД, 6-р",хороо,,"Khan-Uul district, 6th khoroo, Yarmag Ulziit Supermarket",Даваа-Ням 08:00-22:00 цаг,Mon-Sun 8am-10pm,1800-1888,1,1,1,1,1,1,1,08:00:00,21:59:00,
"Шинэ сонголт тооцооны төв, Экспресс банк","Shine songolt branch, Express bank ",atm,тооцооны төв,"Шинэ сонголт худалдааны төв, Шинэ сонголт тооцооны төв",0,0,,,,"Shine songolt shopping center, Shine songolt branch Xac bank ",Даваа-Ням 09:00-20:00 цаг,Mon-Sun 9am-8pm,1800-1888,1,1,1,1,1,1,1,09:00:00,20:00:00,
"7 буудал Бүрэн, Экспресс АТМ","7th station Buren, Express ATM",atm,атм,"14-р хороо, Чингэлтэй өргөн чөлөө, Долоон буудал, Хүсэл төв",0,0,14-р,хороо,,"14th khoroo, Chingeltei avenue , 7th station, Khusel center",Даваа-Ням 08:00-23:00 цаг,Mon-Sun 8am-11pm,1800-1888,1,1,1,1,1,1,1,08:00:00,23:00:00,
Бөхийн өргөө Баянзүрх хүнсний зах АТМ,Bukhiin urguu Bayanzurkh market ATM,atm,атм,"6-р хороо, Бөхийн өргөө Баянзүрх хүнсний зах",0,0,6-р,хороо,,"6th khoroo, Bukhiin urguu Bayanzurkh market",Даваа-Ням 24/7 цаг,Mon-Sun 24/7,1800-1888,1,1,1,1,1,1,1,00:00:00,23:00:00,
"Хуучин бөмбөгөр, Экспресс АТМ","Old bumbugur, Express ATM",atm,атм,"2-р хороо, Их тойруу, Хуучин Бөмбөгөр",0,0,2-р,хороо,,"2nd khoroo, Ikh toiruu, Old bumbugur",Мягмар-Ням 09:00-20:00 цаг,Tue-Sun 9am-8pm,1800-1888,0,1,1,1,1,1,1,09:00:00,20:00:00,
"Бичил хороолол-Мөнгөн тайга, Экспресс АТМ","Mungun taiga center, Express ATM",atm,атм,"12-р хороо, 6-р бичил хороолол, Мөнгөн тайга төв",0,0,12-р,хороо,,"12th khoroo, 6th micro district, Mungun taiga center",Даваа-Ням 08:00-23:00 цаг,Mon-Sun 8am-11pm,1800-1888,1,1,1,1,1,1,1,08:00:00,23:00:00,
БГД Эрүүл мэндийн 7-р төв АТМ,Bayangol district health center 7 ATM,atm,атм,"Баянгол дүүрэг, 17-р хороо, Жалханз хутагт Дамдинбазарын гудамж",Баянгол,дүүрэг,"Баянгол дүүрэг, 17-р",хороо,,"17th khoroo, Jalkhants khutagt Damdinbazar road, Health center 7, Bayangol district",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Сэлэнгэ зах АТМ,Selenge Market ATM,atm,атм,"18-р хороо, Сэлэнгэ хүнс барааны зах",0,0,18-р,хороо,,"18th khoroo, Selenge Market","Баасан-Лхагва 09:00-20:00 цаг
Пүрэв гариг амарна","Fri-Wed 9am-8pm
Thursday closed",1800-1888,1,1,1,0,1,1,1,09:00:00,20:00:00,
Нарлаг дэнж ATM,Narlag Denj Market ATM,atm,,"11-р хороо, Самбалхүндэвийн зам, Нарлаг дэнж зах",0,0,11-р,хороо,,"11st khoroo, Sambalkhundev road, Narlag Denj market",Даваа-Ням 08:00-18:00 цаг,Mon-Sun 8am-6pm,18001888,1,1,1,1,1,1,1,08:00:00,18:00:00,
Баянзүрх 05 салбар Лобби зарлага АТМ,Bayanzurkh 05 branch Lobby ATM,atm,салбар,"13-р хороо, Энхтайван өргөн чөлөө, 92а-1 тоот",0,0,13-р,хороо,,"13rd khoroo, Enkhtaivan Avenue, 92A-1",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Сонгинохайрхан 06 салбар АТМ Лобби зарлага,Songinokhairkhan 06 branch ATM,atm,салбар,"12-р хороо, 1-р хороолол, Москвагийн гудамж, Саппоро, Хас банк Сонгинохайрхан салбар",0,0,12-р,хороо,,"12th khoroo, 1st microdistrict, Songinokhairkhan branch Xac bank",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Тумбааш салбар Лобби АТМ зарлага,Tumbaash branch Lobby ATM,atm,салбар,"15-р хороо, 3-р хороолол, Ард аюуш өргөн чөлөө, Дисковери ХХК байр",0,0,15-р,хороо,,"15th khoroo, 3rd microdistrict, Ard ayush avanue, Discovery LLC building, Xacbank",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Баянгол дүүрэг ЗДТГ,Bayangol duureg ZDTG ATM,atm,,"Баянгол дүүрэг, 2 хороо ЗДТГазрын байр",Баянгол,дүүрэг,"Баянгол дүүрэг, 2",хороо,,"2rd khoroo, Bayangol duureg ZDTG",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Сүхбаатар 08 салбар Лобби АТМ зарлага,Sukhbaatar branch Lobby ATM,atm,салбар,"7-р хороо, 11-р хороолол, Эрхүүгийн Гудамж, Хас банк Сүхбаатар салбар ",0,0,7-р,хороо,,"7th khoroo, 11th microdistrict, Erkhuu road, Sukhbaatar branch Xac bank",Даваа-Ням 24 цаг,Mon-Sun 24 hours,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Баянзүрх 05 салбар Лобби орлого АТМ -1,Bayanzurkh 05 branch Lobby CRM-ATM-1,atm,салбар,"13-р хороо, Энхтайван өргөн чөлөө, 92а-1 тоот",0,0,13-р,хороо,,"13rd khoroo, Enkhtaivan Avenue, 92A-1",Даваа-Ням 24 цаг,Mon-Sun 24 hours,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Баянзүрх 05 салбар Лобби орлого АТМ -2,Bayanzurkh 05 branch Lobby CRM-ATM-2,atm,салбар,"13-р хороо, Энхтайван өргөн чөлөө, 92а-1 тоот",0,0,13-р,хороо,,"13rd khoroo, Enkhtaivan Avenue, 92A-1",Даваа-Ням 24 цаг,Mon-Sun 24 hours,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
